Date,Positive,Negative,Difficult_to_say
12/1/1998,79,14,7
12/1/1999,78,15,8
7/1/2000,71,23,6
12/1/2022,71,23,7
10/2/2022,64,27,9
10/3/2022,71,21,8
2/4/2022,67,25,7
2/5/2022,72,22,7
2/6/2022,50,40,10
2/7/2022,61,29,11
2/8/2022,50,36,14
3/9/2022,41,49,9
3/10/2022,60,28,13
4/11/2022,70,20,11
3/12/2022,65,24,11
3/13/2022,69,22,9
3/14/2022,63,25,12
3/15/2022,31,56,13
3/16/2022,25,64,11
3/17/2022,33,56,11
3/18/2022,33,55,12
2/19/2022,34,56,10
9/19/2022,56,31,13
1/20/2022,41,47,11
8/20/2022,48,43,8
2/21/2022,55,31,13
8/21/2022,39,49,12
2/22/2022,35,52,13
3/22/2022,30,57,13
